Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Training Stress Score®,Medelkraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Totalt antal repetitioner,Dyktid,Minsta temperatur,Ytintervall,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Stressändring,Start för stress,Slut för stress,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2024-03-26 18:01:43,false,"Outdoor Running Gerdahallen","8.83","628","01:04:33","129","170","117","238","7:19","3:01","36","37","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:27.66","11","0.0","--","--","--","--","--","--","--","--","00:45:39","01:04:33","41","70"
Konditionspass,2024-03-25 18:14:52,false,"CardioCross","0.00","500","00:55:02","132","166","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:02.09","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:02","--","--"
Inomhuscykling,2024-03-24 10:34:53,false,"Inomhuscykling","100.00","1,406","03:04:22","127","167","--","--","32.5","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","03:04:21.82","1","0.0","--","--","--","--","--","--","--","--","00:00:00","03:04:22","--","--"
Löpning,2024-03-23 10:02:22,false,"Lund Löpning","15.08","952","01:22:33","139","149","167","178","5:28","4:38","68","71","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:22:33.10","1","0.0","--","--","--","--","--","--","--","--","01:21:55","01:22:57","7","72"
Konditionspass,2024-03-22 17:00:28,false,"Cardio","0.00","576","00:57:11","137","165","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","57:10.75","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:57:19","--","--"
Inomhuscykling,2024-03-21 18:04:39,false,"Inomhuscykling","33.00","699","01:04:09","138","172","--","--","30.9","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:04:09.13","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:06:40","--","--"
Cykling,2024-03-20 16:40:11,false,"Lund Cykling","34.60","618","01:26:01","121","143","--","--","24.1","41.6","139","138","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","09:52.67","7","0.0","--","--","--","--","--","--","--","--","01:24:16","01:39:39","19","88"
Löpning,2024-03-19 18:02:22,false,"Outdoor Running Gerdahallen","7.65","587","01:01:18","130","162","114","243","8:01","2:37","50","51","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:07.72","21","0.0","--","--","--","--","--","--","--","--","00:40:28","01:01:18","35","70"
Konditionspass,2024-03-19 17:05:03,false,"Gym","0.00","210","00:37:45","102","127","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","37:44.75","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:37:45","--","--"
Konditionspass,2024-03-18 18:15:02,false,"CardioCross","0.00","473","00:55:39","126","155","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:38.84","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:39","--","--"
